Título,Preço (R$),Avaliação,Bairro,Imóvel,Características
FLAT PARTICULAR NO MELIA  - AV. IBIRAPUERA,110,4.9,Indianópolis,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Studio novinho a 300 m metrô - Self check in,117,4.8,Consolacao,Apartamento inteiro,"['5 hóspedes', 'Estúdio', '3 camas', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Studio encantador em São Paulo próximo ao metrô,110,4.87,Consolacao,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Flat mobiliado ao lado do Hospital Sirio Libanês,80,4.61,Bela Vista,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
Suíte moderna com cama de casal no Brooklin,54,4.89,Vila Olímpia,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
FLAT THE PALACE - MOEMA C/ SACADA,110,4.92,Indianópolis,Flat inteiro,"['3 hóspedes', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
"Studio moderno e com desing arrojado, próx a Avenida Paulista",151,5.0,Consolacao,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Apto Jardins mobiliado Excelente localização,75,,Paraíso,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
"Flat - Vila Clementino, São Paulo - SP",80,4.73,Vila Clementino,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi']"
Premium Flats Berrini / L`Originale,77,4.9,Vila Olímpia,Flat inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
Confortável_Quarto Casal Largo do Arouche CentroSP,57,5.0,República,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
Privativo.Jardins. O.Freire! Aluguel mensal 1.400$,61,4.67,Cerqueira César,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha']"
Aconchego e tranquilidade,51,4.75,Consolacao,Loft inteiro,"['2 hóspedes', 'Estúdio', '2 camas', '1 banheiro', 'Cozinha']"
