Título,Preço (R$),Avaliação,Bairro,Imóvel,Hóspedes,Camas,Quartos,Banheiros,Cozinha,Wi-Fi,Piscina
FLAT PARTICULAR NO MELIA  - AV. IBIRAPUERA,110,4.9,Indianópolis,Flat inteiro,2,1,1,1,Tem,Tem,Tem
Studio novinho a 300 m metrô - Self check in,117,4.8,Consolacao,Apartamento inteiro,5,3,0,1,Tem,Tem,Tem
Studio encantador em São Paulo próximo ao metrô,110,4.87,Consolacao,Flat inteiro,2,1,1,1,Tem,Tem,Tem
Flat mobiliado ao lado do Hospital Sirio Libanês,80,4.61,Bela Vista,Flat inteiro,2,1,1,1,Tem,Tem,Não tem
Suíte moderna com cama de casal no Brooklin,54,4.89,Vila Olímpia,Quarto inteiro,2,1,1,1,Tem,Tem,Não tem
FLAT THE PALACE - MOEMA C/ SACADA,110,4.92,Indianópolis,Flat inteiro,3,2,1,1,Tem,Tem,Tem
"Studio moderno e com desing arrojado, próx a Avenida Paulista",151,5.0,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Apto Jardins mobiliado Excelente localização,75,,Paraíso,Apartamento inteiro,2,1,1,1,Tem,Tem,Não tem
"Flat - Vila Clementino, São Paulo - SP",80,4.73,Vila Clementino,Flat inteiro,2,1,1,1,Não tem,Tem,Não tem
Premium Flats Berrini / L`Originale,77,4.9,Vila Olímpia,Flat inteiro,2,1,0,1,Não tem,Tem,Tem
Confortável_Quarto Casal Largo do Arouche CentroSP,57,5.0,República,Quarto inteiro,2,1,1,1,Tem,Tem,Não tem
Privativo.Jardins. O.Freire! Aluguel mensal 1.400$,61,4.67,Cerqueira César,Quarto inteiro,1,1,1,1,Tem,Tem,Não tem
Aconchego e tranquilidade,51,4.75,Consolacao,Loft inteiro,2,2,0,1,Tem,Não tem,Não tem
"Estúdio no Centro com Varanda, Wi-Fi & Smart-TV :)",75,4.82,Sé,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
"Flat em Moema, próximo ao Shopping Ibirapuera",106,5.0,Indianópolis,Flat inteiro,2,1,1,1,Tem,Tem,Tem
Apartamento em Santa Efigênia,54,4.82,Centro,Quarto inteiro,2,1,1,1,Tem,Tem,Não tem
Suíte aconchegante ao lado do metrô Paraíso,135,4.82,Vila Mariana,Quarto de hotel,2,1,1,1,Não tem,Tem,Não tem
Apartamento Completo 10 min do Brás e 25 de março,70,4.85,Campos Elíseos,Apartamento inteiro,4,2,2,1,Tem,Tem,Não tem
Acomodação em São Paulo - Próximo ao Masp/Paulista,79,5.0,Consolacao,Quarto inteiro,2,1,1,1,Tem,Tem,Não tem
